TIPO;FECHA;HORA;INSTALACION;ENTIDAD;ACTIVIDAD
EVENTOS DEPORTIVOS ESPECIALES;04/03/2023;9:00:00;PABELLON C.D. PRINCIPE FELIPE;CLUB JUDO ARGANDA;DEFENSA PERSONAL DIA DE LA MUJER
EVENTOS DEPORTIVOS ESPECIALES;05/03/2023;10:30:00;PISCINA COMPETICION CD - CALLE 1;CLUB SUBMARINISMO ARGANDA;BAUTIZOS DE BUCEO - DÍA DE LA MUJER
EVENTOS DEPORTIVOS ESPECIALES;08/03/2023;20:00:00;PABELLON C.D. PRINCIPE FELIPE;CLUB GIMNASIA RITMICA ARGANDA;ENTRENAMIENTO DÍA DE LA MUJER - GIMNASIA RÍTMICA ARGANDA
EVENTOS DEPORTIVOS ESPECIALES;09/03/2023;20:00:00;CAMPO FUTBOL ESTADIO MUNICIPAL DEPORTES;AGRUPACION DEPORTIVA ARGANDA;TRIANGULAR DIA DE LA MUER
EVENTOS DEPORTIVOS ESPECIALES;11/03/2023;9:00:00;PABELLON C.D. PRINCIPE FELIPE;CLUB IVAN LEAL;CAMPEONATO DE MADRID INFANTIL
EVENTOS DEPORTIVOS ESPECIALES;11/03/2023;15:00:00;PISCINA NADO CDPF - TARDE SABADO;CLUB NATACION ARGANDA;LIGA MADRID INFANTIL
EVENTOS DEPORTIVOS ESPECIALES;12/03/2023;9:00:00;PABELLON C.D. PRINCIPE FELIPE;CLUB IVAN LEAL;CAMPEONATO DE MADRID INFANTIL
EVENTOS DEPORTIVOS ESPECIALES;18/03/2023;9:00:00;PABELLON C.D. PRINCIPE FELIPE;CLUB GIMNASIA RITMICA ARGANDA;CONTROL COPA REINA + CONTROL COPA MASCULINA
EVENTOS DEPORTIVOS ESPECIALES;18/03/2023;9:00:00;"SALA FITNESS 1 - C.D. ""PRINCIPE FELIPE""";CLUB JUDO ARGANDA;CUARTO GRADO JIU JITSU (SALA JUDO)
EVENTOS DEPORTIVOS ESPECIALES;19/03/2023;9:00:00;"SALA FITNESS 3 - C.D. ""PRINCIPE FELIPE""";CONCEJALIA DE DEPORTES - AYTO. ARGANDA;ACTO DIA DE LA MUJER CON ENTRENADORAS
EVENTOS DEPORTIVOS ESPECIALES;19/03/2023;9:00:00;PABELLON C.D. PRINCIPE FELIPE;CLUB GIMNASIA RITMICA ARGANDA;CONJUNTO CLASIFICATORIO
EVENTOS DEPORTIVOS ESPECIALES;19/03/2023;9:00:00;PISTA DE ATLETISMO. ESTADIO MUNICIPAL DE DEPORTES;CLUB ATLETISMO ARGANDA;CARRERA MEMORIAL JOSÉ DÍAZ ESPADA
EVENTOS DEPORTIVOS ESPECIALES;24/03/2023;17:30:00;PATINODROMO CIUDAD DEPORTIVA;CLUB PATINAJE ARGANDA;4º JORNADA ESCOLAR DEL CLUB DE PATINAJE
EVENTOS DEPORTIVOS ESPECIALES;25/03/2023;10:00:00;ESTADIO MUNICIPAL DE DEPORTES;CONCEJALIA DE DEPORTES - AYTO. ARGANDA;PARTIDO VETERANOS ARGANDA VS CANTERA BLANCA
EVENTOS DEPORTIVOS ESPECIALES;25/03/2023;9:00:00;PABELLON C.D. PRINCIPE FELIPE;CLUB GIMNASIA RITMICA ARGANDA;ESCULAS CONJUNTOS
EVENTOS DEPORTIVOS ESPECIALES;26/03/2023;9:00:00;PABELLON C.D. PRINCIPE FELIPE;CLUB JUDO ARGANDA;CAMPEONATO DE MADRID ZONA 2 INFANTIL - CADETE
EVENTOS DEPORTIVOS ESPECIALES;26/03/2023;9:00:00;PISTA DE ATLETISMO. ESTADIO MUNICIPAL DE DEPORTES;CLUB ATLETISMO ARGANDA;LIGA DE CLUBES ABSOLUTA PLATA DE ATLETISMO
EVENTOS DEPORTIVOS ESPECIALES;26/03/2023;16:00:00;PABELLON C.D. PRINCIPE FELIPE;ARGANDA FUTSAL;TORNEO BENÉFICO APSA - ARGANDA FUTSAL
